CUIs,clinvar_trait
C3553813,"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 8"
C3553886,"microcephaly 9, primary, autosomal recessive"
C3554374,dystonia 24
C3554381,"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 10"
C3554594,steel syndrome
C3658294,hereditary antithrombin deficiency
C3665342,cone dystrophy
C3665346,blindness
C3665704,congenital reticular ichthyosiform erythroderma
C3668942,atelosteogenesis type iii
C3669121,deficiency of steroid 11-beta-monooxygenase
C3669395,x-linked chondrodysplasia punctata 1
C3696898,autosomal dominant nocturnal frontal lobe epilepsy 5
C3711371,hereditary spastic paraplegia 4
C3711374,autosomal recessive nonsyndromic hearing loss 37
C3711381,hereditary diffuse leukoencephalopathy with spheroids
C3711385,"mitochondrial dna depletion syndrome, hepatocerebral form"
C3711389,actin accumulation myopathy
C3711645,long chain 3-hydroxyacyl-coa dehydrogenase deficiency
C3713418,x-linked intellectual disability-psychosis-macroorchidism syndrome
C3714506,"meckel syndrome, type 1"
C3714580,"hypokalemic periodic paralysis, type 1"
C3714756,intellectual disability
C3714873,axenfeld-rieger syndrome type 1
C3806301,scarring alopecia of scalp
C3806467,respiratory insufficiency due to muscle weakness
C3807306,acute rhabdomyolysis
C3808988,fanconi anemia complementation group q
C3808991,congenital disorder of deglycosylation 2
C3809352,"meckel syndrome, type 11"
C3809874,"leukemia, acute lymphoblastic, susceptibility to, 3"
C3809882,hereditary sensory and autonomic neuropathy type 7
C3809971,congenital microcephaly - severe encephalopathy - progressive cerebral atrophy syndrome
C3810283,schwannomatosis 2
C3810365,cerebral visual impairment
C3839822,dicer1 syndrome
C3887499,renal cyst
C3887523,very long chain acyl-coa dehydrogenase deficiency
C3887524,skin erosion
C3887873,hearing loss
Cumapped46,childhood onset hearing loss
C3887875,visual field defect
C3887898,infantile spasms
C3887949,apparent mineralocorticoid excess
C3888018,familial hyperinsulinism
C3888031,spinocerebellar ataxia type 35
C3888087,charcot-marie-tooth disease type 2i
C3888099,autosomal dominant vitreoretinochoroidopathy
C3888102,frontotemporal dementia and/or amyotrophic lateral sclerosis 1
C3888239,"hirschsprung disease, susceptibility to, 1"
C3888631,monogenic diabetes
C3890591,nephronophthisis 18
C3890737,autoinflammatory syndrome
C3891159,aromatase deficiency
C3898226,motor stereotypy
C4012790,ataxia-telangiectasia-like disorder 1
C4013947,immunodeficiency 28
C4014371,immunodeficiency 23
C4014419,ahdc1-related intellectual disability - obstructive sleep apnea - mild dysmorphism syndrome
C4014538,adnp-related multiple congenital anomalies - intellectual disability - autism spectrum disorder
C4014934,immunodeficiency 36
C4015214,autoimmune lymphoproliferative syndrome due to ctla4 haploinsuffiency
C4015360,nemaline myopathy 10
C4015537,thrombocytopenia 5
C4015635,charcot-marie-tooth disease axonal type 2t
C4021076,iron accumulation in brain
C4021085,abnormality of brain morphology
C4021107,non-obstructive azoospermia
C4021133,left ventricular noncompaction cardiomyopathy
C4021254,cutaneous finger syndactyly
C4021626,lethal skeletal dysplasia
C4021745,abnormality of the musculature
C4021758,delayed cns myelination
C4021768,abnormality of metabolism/homeostasis
C4021789,abnormality of the vertebral column
C4021790,abnormality of the skeletal system
C4021798,abnormal nonverbal communicative behavior
C4022737,neurodevelopmental abnormality
C4022738,severe neurodevelopmental delay
C4022756,profound hearing impairment
C4022832,mild proteinuria
Cumapped267,sex reversal
C4023106,obstructive azoospermia
C4023676,increased nuchal translucency
C4024216,tibial pseudarthrosis
C4024223,spinal hemangioblastoma
C4024599,chronic oral candidiasis
C4024923,diffuse white matter abnormalities
C4025298,effort-induced polymorphic ventricular tachycardia
C4025320,craniofacial asymmetry
C4025596,abnormality of connective tissue
C4025708,cerebellar malformation
C4025729,neuromuscular dysphagia
C4025731,abnormal thrombosis
C4025790,specific learning disability
C4025871,abnormality of the face
C4040879,sting-associated vasculopathy with onset in infancy
C4041172,"distal myopathy, tateyama type"
C4048195,autosomal dominant hypocalcemia
C4048196,beta-d-mannosidosis
C4048270,decreased circulating antibody level
C4048306,"multiple endocrine neoplasia, type 2"
C4048808,inappropriate sinus tachycardia
C4049650,glucocorticoid deficiency 1
C4049714,glucocorticoid deficiency 2
C4049796,abnormality of cardiovascular system morphology
C4053775,pituitary stalk interruption syndrome
C4055017,gonadotropin-independent familial sexual precocity
C4082167,marshall syndrome
C4082171,"congenital hyperammonemia, type i"
C4082173,porencephaly
Cumapped74,fanconi anemia complementation group t
C4085238,myoclonic-atonic epilepsy
C4225259,macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome
C4225314,ullrich congenital muscular dystrophy 2
C4225328,dock2 deficiency
C4230658,congenital nonbullous ichthyosiform erythroderma
C4272381,progressive familial intrahepatic cholestasis type 3
C4273964,classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency
C4273970,familial pseudohyperkalemia
C4275179,young-onset parkinson disease
C4275252,familial spontaneous pneumothorax
C4283745,neurodegeneration due to 3-hydroxyisobutyryl coenzyme a hydrolase deficiency
C4284093,fanconi anemia complementation group r
C4284790,"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a1"
C4285893,cerebellar ataxia with neuropathy and bilateral vestibular areflexia syndrome
C4303080,familial juvenile hyperuricemic nephropathy type 2
C4305529,dent disease type 2
C4310742,perching syndrome
C4310789,thrombocytopenia 6
C4316870,abnormality of the eye
C4316899,cystinosis
C4317146,gastroesophageal reflux
C4317320,factor v deficiency
C4331262,rosette-forming glioneuronal tumor
C4510753,glycogen storage disorder due to hepatic glycogen synthase deficiency
C4518336,spinocerebellar ataxia type 40
C4520892,"otospondylomegaepiphyseal dysplasia, autosomal recessive"
C4520981,abnormal basal ganglia morphology
C4521256,glomerulopathy
C4531138,short telomere length
C4551477,sotos syndrome 1
C4551482,adams-oliver syndrome
C4551504,tyrosinase-negative oculocutaneous albinism
C4551505,methylcrotonyl-coa carboxylase deficiency
C4551506,paroxysmal nonkinesigenic dyskinesia 1
C4551563,microcephaly
C4551570,2-3 toe syndactyly
C4551571,cranioectodermal dysplasia
C4551590,familial renal hypouricemia
C4551602,noonan syndrome 1
C4551624,idiopathic basal ganglia calcification 1
C4551633,pigmentary retinal dystrophy
C4551647,long qt syndrome 1
C4551649,congenital hip dislocation
C4551675,palmoplantar keratoderma
C4551683,pheochromocytoma
C4551714,rod-cone dystrophy
C4551715,pigmentary retinopathy
C4551825,imerslund-grasbeck syndrome
C4552001,meier-gorlin syndrome 1
C4552003,"ehlers-danlos syndrome, spondylodysplastic type, 1"
C4552072,infantile epileptic dyskinetic encephalopathy
C4552097,linear nevus sebaceous syndrome
C4552100,lynch syndrome
C4552651,respiratory failure
C4552652,retinal detachment
C4552845,arthritis
C4552879,myelodysplastic syndrome
C4552982,stridor
C4553009,hypertrichosis
C4553188,chronic kidney disease
C4553197,headache
C4553310,hypothyroidism
C4553660,night blindness
C4553743,spasticity
C4553765,memory impairment
C4553903,dysarthria
C4553910,nephrotic syndrome
C4553963,hyperparathyroidism
C4554120,leukoencephalopathy with mild cerebellar ataxia and white matter edema
C4554179,pancreatitis
C4554342,photophobia
C4554624,hypocalcemia
C4692625,shwachman-diamond syndrome 1
C4706871,hyperammonemic encephalopathy due to carbonic anhydrase va deficiency
C4707290,bap1-related tumor predisposition syndrome
C4708498,pura-related severe neonatal hypotonia-seizures-encephalopathy syndrome
C4721437,charcot-marie-tooth disease type 4e
C4721453,peripheral neuropathy
C4721532,non-hodgkin lymphoma
C4721769,citrullinemia type i
C4721859,hereditary diffuse gastric adenocarcinoma
C4722227,congenital prothrombin deficiency
C4746851,proteasome-associated autoinflammatory syndrome 1
C4748295,"muscular dystrophy, limb-girdle, autosomal dominant 4"
C4748701,snijders blok-campeau syndrome
C4749274,chuvash polycythemia
C4750288,spinal muscular atrophy with lower extremity predominance
C4750718,cdkl5 disorder
C4759767,spondylometaphyseal dysplasia
C4759774,myh7-related late-onset scapuloperoneal muscular dystrophy
C4759870,"spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 1"
C4759928,body mass index quantitative trait locus 20
C4760576,fetal akinesia deformation sequence 2
C5190707,hereditary cryohydrocytosis with reduced stomatin
C5197805,inherited immunodeficiency diseases
C5200934,macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss
C5201048,monochromacy
C5231432,noonan syndrome 12
Cumapped179,non-syndromic intellectual disability
C0009405,hereditary nonpolyposis colorectal neoplasms
C0016756,fructose-biphosphatase deficiency
C0018036,goldblatt syndrome
C0024507,short-rib thoracic dysplasia 6 with or without polydactyly
C0206246,hereditary amyloidosis
C0220721,cataract 46 juvenile-onset
C0265278,"acromesomelic dysplasia 1, maroteaux type"
C0265280,"spondylometaphyseal dysplasia, kozlowski type"
C0265333,tricho-dento-osseous syndrome
C0268138,"xeroderma pigmentosum, group d"
C0268140,"xeroderma pigmentosum, group f"
C0268272,gm1 gangliosidosis type 2
C0268293,corticosterone 18-monooxygenase deficiency
C0268335,"ehlers-danlos syndrome, periodontal type 1"
C0268362,severe progressive deforming recessive osteogenesis imperfecta (type iii)
C0268363,"osteogenesis imperfecta with normal sclerae, dominant form"
C0268374,"junctional epidermolysis bullosa, non-herlitz type"
C0268417,trypsinogen deficiency
C0268448,primary hypomagnesemia
C0268474,hydroxykynureninuria
C0271567,autosomal dominant isolated somatotropin deficiency
C0271690,insulin-resistant diabetes mellitus and acanthosis nigricans
C0272064,hemolytic anemia due to glucophosphate isomerase deficiency
C0339534,usher syndrome type 2
C0339541,goldmann-favre syndrome
C0341700,bartter disease type 3
C0342194,iodotyrosyl coupling defect
C0342196,thyroglobulin synthesis defect
C0342283,hyperproinsulinemia
C0342728,3-methylglutaconic aciduria type 1
C0345345,atresia of urethra
C0345371,lower limb undergrowth
Cumapped230,pterin-4 alpha-carbinolamine dehydratase 1 deficiency
C0375111,neoplasm
C0393540,progressive bulbar palsy of childhood
C0399373,hypomaturation-hypoplastic amelogenesis imperfecta with taurodontism
C0403548,nail-patella-like renal disease
C0403810,oligosynaptic infertility
C0406727,orofacial-digital syndrome iv
C0406740,kohlschutter-tonz syndrome-like
C0423401,retinal arterial tortuosity
C0431350,primary microcephaly
C0432214,namaqualand hip dysplasia
C0432221,spondylometaphyseal dysplasia - sutcliffe type
C0432225,"metaphyseal chondrodysplasia, spahr type"
C0432227,brachyrachia (short spine dysplasia)
C0432238,bent bone dysplasia
C0432243,spondyloepimetaphyseal dysplasia with joint laxity
C0432269,lenz-majewski hyperostosis syndrome
C0432307,ichthyosis hystrix of curth-macklin
C0443390,methoxyflurane response - toxicity
C0472792,hemolytic anemia due to hexokinase deficiency
C0472813,x-linked agammaglobulinemia with growth hormone deficiency
C0474887,generalized dominant dystrophic epidermolysis bullosa
C0494261,combined immunodeficiency
C0685874,deafness with anatomical inner ear anomalies
Cumapped21,autosomal dominant childhood-onset proximal spinal muscular atrophy without contractures
C0751083,duane retraction syndrome 2
C0751330,unilateral hypotonia
C0751663,"canavan disease, familial form"
Cumapped222,progressive childhood encephalopathy
C0751885,"myasthenic syndrome, slow-channel congenital"
C0795888,"autism, susceptibility to, x-linked 4"
C0795902,uveal coloboma-cleft lip and palate-intellectual disability
C0795915,curry-jones syndrome
C0796124,corpus callosum agenesis-abnormal genitalia syndrome
C0796179,teebi hypertelorism syndrome
C0796205,x-linked progressive cerebellar ataxia
C0796208,"methylmalonic acidemia with homocystinuria, type cblx"
C0796255,wilson-turner syndrome
C1069915,vertigo
C1264000,sickle cell-hemoglobin o arab disease
C1274215,autosomal recessive congenital ichthyosis
C1283424,deficiency of butyrylcholinesterase
C1291299,deficiency of iodide peroxidase
C1291609,deficiency of ribose-5-phosphate isomerase
C1292231,blood group--lutheran inhibitor
C1292286,blood group--diego system
Cumapped192,ornithine aminotransferase deficiency
C1300257,"thanatophoric dysplasia, type 2"
C1300287,"hyperparathyroidism, transient neonatal"
C1328348,mitochondrial hepatopathy
C1332124,nephrogenic diabetes insipidus
C1333989,familial meningioma
C1336839,papillary renal cell carcinoma type 1
C1408182,"neuropathy, hereditary motor and sensory, type 6b"
C1412063,stargardt disease
C1412084,adrenoleukodystrophy
C1412749,bardet-biedl syndrome 4
C1412750,bardet-biedl syndrome 5
C1412777,gracile syndrome
C1413293,cornelia de lange syndrome 1
C1414203,dandy-walker syndrome
C1414950,morquio syndrome
C1415096,"glaucoma 3, primary infantile, b"
C1415354,cone dystrophy 3
C1417174,mckusick-kaufman syndrome
C1420385,elliptocytosis 2
C1421293,angelman syndrome
C1425590,"hearing loss, autosomal dominant 37"
C1428487,neurodegeneration with brain iron accumulation 4
C1428825,lrfn1
C1538088,neurodegeneration with brain iron accumulation 5
C1539082,hyperimmunoglobulin m syndrome
C1550444,hearing impairment
C1562894,thiel-behnke corneal dystrophy
C1563705,"diabetes insipidus, nephrogenic, x-linked"
C1563706,"diabetes insipidus, nephrogenic, autosomal"
C1563720,hypogonadotropic hypogonadism 2 with or without anosmia
C1578917,islet cell adenomatosis
C1641846,groenouw corneal dystrophy type i
C1824414,poikiloderma with neutropenia
C1824725,"meckel syndrome, type 4"
Cumapped323,tkfc deficiency
Cumapped352,wls syndrome
C1826838,aicardi-goutieres syndrome 3
C1832168,blood group--froese
C1832169,blood group--swann system
C1832175,cataract 3 multiple types
C1832243,dilated cardiomyopathy 1d
C1832322,"severe combined immunodeficiency, autosomal recessive, t cell-negative, b cell-negative, nk cell-positive"
